us_state,incidenti,vittime_fatali
CA,8727,3919.0
TX,5753,1955.0
FL,5720,1939.0
AK,5581,1292.0
AZ,2767,1008.0
CO,2689,995.0
WA,2564,798.0
IL,2022,553.0
MI,2002,790.0
GA,1992,835.0
NY,1890,1380.0
OH,1789,555.0
PA,1759,788.0
OR,1738,560.0
NC,1628,694.0
WI,1538,517.0
MO,1536,457.0
AR,1491,464.0
MN,1423,402.0
ID,1403,461.0
NM,1337,479.0
UT,1312,523.0
IN,1289,434.0
VA,1259,581.0
OK,1220,484.0
NV,1210,507.0
LA,1193,556.0
NJ,1156,385.0
AL,1143,473.0
KS,1086,276.0
TN,1086,424.0
MT,1025,357.0
SC,963,335.0
MA,961,300.0
MD,801,251.0
IA,797,336.0
MS,795,243.0
WY,727,264.0
NE,711,223.0
KY,642,305.0
ND,557,86.0
ME,500,155.0
CT,493,172.0
HI,489,302.0
SD,437,164.0
WV,390,190.0
NH,361,107.0
VT,238,89.0
RI,157,64.0
DE,112,43.0
PR,111,50.0
GM,43,20.0
DC,42,85.0
OF,17,15.0
AO,16,15.0
PO,13,5.0
GU,8,233.0
VI,6,2.0
UN,3,1.0
CB,1,4.0
